Index,Index in initial List,CWNS_No,Total Flow (MGD),City,County,State,Has Cogen,Est. Electricity Demand (MW),Est. Gas Demand (therms/hr),Electricity Utility,Gas Utility,Electric URL,Gas URL
49,13901,32000200820,89,Las Vegas,Clark,NV,No,12.97916667,0,NV energy,,https://www.nvenergy.com/publish/content/dam/nvenergy/brochures_arch/about-nvenergy/rates-regulatory/np_com_rate.pdf,
50,4875,47000940002,90,Memphis,Shelby,TN,No,13.125,0,"Memphis Light, Gas, and Water (MLGW)",,https://www.mlgw.com/images/content/files/pdf_rates/GSA%20Jan21.pdf,
51,4890,47001016001,91.9,Nashville,Davidson,TN,Yes,6.701041667,22.86611374,Nashville Electric Service,Piedmont Natural Gas Company,https://www.nespower.com/-/media/project/nes/common/pdfs/commercial-rates/2021/november/lgs-november-2021-retail-rate-schedules.pdf,https://desitecoreprod-cd.azureedge.net/_/media/pdfs/png/tn-tariffandserviceregulations.pdf?la=en&rev=0feec8b32ddc4d8ca620a7311db97c6f
52,3148,12000017028,92,Miami,Miami-Dade,FL,No,13.41666667,0,Florida power and light,,https://www.fpl.com/content/dam/fpl/us/en/rates/pdf/bus-may-2021.pdf,
53,8459,22009071001,92.1,New Orleans,Orleans,LA,No,13.43125,0,Entergy New Orleans,,https://cdn.entergy-neworleans.com/userfiles/content/price/tariffs/eno/enol_elec_le.pdf?_ga=2.7055729.2121795482.1636243584-332954794.1636243584,
54,751,36002001009,93.09,Brooklyn,Kings,NY,Yes,6.7878125,23.16220379,Con Edison,National Grid,https://www.coned.com/_external/cerates/documents/elecPSC10/electric-tariff.pdf,https://www.nationalgridus.com/media/pdfs/billing-payments/gas-rates/nym/kedny_gas_delivery_charges_-_effective_september_2021.pdf
55,1525,42000094003,94.8,Philadelphia,Philadelphia,PA,No,13.825,0,PECO,,https://www.peco.com/SiteCollectionDocuments/current%20elec%20tariff%20Oct%201%202021.pdf,
56,3147,12000017027,95,Miami,Miami-Dade,FL,Yes,6.927083333,23.63744076,Florida power and light,Florida City Gas,https://www.fpl.com/content/dam/fpl/us/en/rates/pdf/bus-may-2021.pdf,https://www.floridacitygas.com/fcgcommon/pdfs/FACT-SHEET-FCG-Rates.pdf
57,6775,39001792002,96,Lockbourne,Franklin,OH,No,14,0,AEP Ohio,Columbia Gas,https://www.aepohio.com/lib/docs/ratesandtariffs/Ohio/2021-03-01_AEP_Ohio_Standard_Tariff.pdf,https://www.columbiagasohio.com/docs/librariesprovider5/rates-and-tariffs/ohio-tariff.pdf?sfvrsn=113
58,9528,48007039001,96,Houston,Harris,TX,No,14,0,CenterPoint Energy,,https://www.centerpointenergy.com/en-us/Documents/CNP-Retail-Del-Tariff-Book.pdf,
